a_lyric;a_music;lyric;title
Roberto Fontaina;Ramón Collazo;Cansada de los gomina, los niños bien y fifí, ayer oí que una piba con bronca cantaba así: Mama, yo quiero un novio que sea milonguero, guapo y compadrón, que no se ponga gomina ni fume tabaco inglés, que pa' hablar con una mina sepa el chamuyo al revés. Mama, si encuentro ese novio juro que me pianto aunque te enojés. Ayer un mozo elegante con pinta de distinguido demostrando ser constante desde el taller me ha seguido, mas cuando estuvo a mi lado me habló como un caramelo del sol, la luna y el cielo y lo pianté con razón. Mama, yo quiero un novio que sea milonguero, guapo y compadrón, de los del gacho ladeado, trencilla en el pantalón, que no sea un almidonado con perfil de medallón. Mama, yo quiero un novio que al bailar se arrugue como un bandoneón. Yo quiero un hombre copero, de los del tiempo del jopo, que al truco conteste quiero y en toda banca va al copo. Tanto me da que sea un pato y si mi novio precisa empeño hasta la camisa y si eso es poco, el colchón. Mama, yo quiero un novio que sea milonguero, guapo y compadrón. ;Mama yo quiero un novio
Francisco García Jiménez;María Isolina Godard;"Yo la conocí a ""Mamboretá"" en el barrio aquel de la niñez, con su pena cruel de no tener mamá... ni conocer otro consuelo que llorar. Pobre huerfanita, triste flor, era su madrastra la impiedad. Carne del dolor, ni un nombre se te dio: fue nada más que la infeliz ""Mamboretá""... ¡Linda mujer que en esta noche triunfando hace derroche de lujo y de placer! Sólo yo sé que eres aquélla, y el brillo de tu estrella no haré palidecer. Por el milagro, la copa quiero alzar: ¡hoy es Alondra quien fue Mamboretá! Nada pregunto ni sospecho, ¡no sé lo que habrás hecho cansada de llorar! Que otro te condene... Ya no sé dónde acaba el bien y empieza el mal... Yo tan sólo sé la trágica verdad de tu niñez ensombrecida de orfandad. Puede ser locura tu placer, puede ser tu lujo un sol fugaz; pero Dios te da desquite de tu ayer; ¡sueño feliz de la infeliz ""Mamboretá""! ";Mamboretá
Francisco Brancatti / Juan Velich;Juan Rodríguez;Tome mi poncho... No se aflija... ¡Si hasta el cuchillo se lo presto! Cite, que en la cancha que usté elija he de dir y en fija no pondré mal gesto. Yo con el cabo 'e mi rebenque tengo 'e sobra pa' cobrarme... Nunca he sido un maula, ¡se lo juro! y en ningún apuro me sabré achicar. Por la mujer, creamé, no lo busqué... Es la acción que le viché al varón que en mi rancho cobijé... Es su maldad la que hoy me hace sufrir: Pa' matar o pa' morir vine a pelear y el hombre ha de cumplir. Pa' los sotretas de su laya tengo güen brazo y estoy listo... Tome... Abaraje si es de agaya, que el varón que taya debe estar previsto. Esta es mi marca y me asujeto. ¡Pa ' qué pelear a un hombre mandria! Váyase con ella, la cobarde... Dígale que es tarde pero me cobré. ;Mandria
" Carlos Gardel / José 
Razzano Letra: Celedonio Flores";"Carlos Gardel / José 
Razzano Letra: Celedonio Flores";"Rechiflado en mi tristeza, te evoco y veo que has sido en mi pobre vida paria sólo una buena mujer. Tu presencia de bacana puso calor en mi nido, fuiste buena, consecuente, y yo sé que me has querido como no quisiste a nadie, como no podrás querer. Se dio el juego de remanye cuando vos, pobre percanta, gambeteabas la pobreza en la casa de pensión. Hoy sos toda una bacana, la vida te ríe y canta, Ios morlacos del otario los jugás a la marchanta como juega el gato maula con el mísero ratón. Hoy tenés el mate lleno de infelices ilusiones, te engrupieron los otarios, las amigas y el gavión; la milonga, entre magnates, con sus locas tentaciones, donde triunfan y claudican milongueras pretensiones, se te ha entrado muy adentro en tu pobre corazón. Nada debo agradecerte, mano a mano hemos quedado; no me importa lo que has hecho, lo que hacés ni lo que harás... Los favores recibidos creo habértelos pagado y, si alguna deuda chica sin querer se me ha olvidado, en la cuenta del otario que tenés se la cargás. Mientras tanto, que tus triunfos, pobres triunfos pasajeros, sean una larga fila de riquezas y placer; que el bacán que te acamala tenga pesos duraderos, que te abrás de las paradas con cafishos milongueros y que digan los muchachos: Es una buena mujer. Y mañana, cuando seas descolado mueble viejo y no tengas esperanzas en tu pobre corazón, si precisás una ayuda, si te hace falta un consejo, acordate de este amigo que ha de jugarse el pellejo pa'ayudarte en lo que pueda cuando llegue la ocasión. ";Mano a mano
Armando Tagini;Carmelo Mutarelli;"Fuiste la piba mimada de la calle Pepirí, la calle nunca olvidada donde yo te conocí; y porque eras linda y buena, un muchacho medio loco te hizo reina del piropo en un verso muy fifí. Tu gracia supo en las milongas cautivar, por tus encantos suspiró más de un varón, y sin embargo no encontraste el ideal capaz de hacer estremece tu corazón. Pero en las sombras acechaba el vil ladrón que ajó tu encanto juvenil con mano cruel, cedió tu oído a sus palabras de pasión y abandonaste para siempre el barrio aquel. Hoy te he visto a la salida de un lujoso cabaret, y en tu carita afligida honda pena adiviné. Yo sé que hasta el alma dieras por volver a ser lo que eras. No podrás, la primavera de tu vida ya se fue. Hoy ya no sos la linda piba que mimó la muchachada de la calle Pepirí, aquella calle donde yo te conocí y donde un mozo soñador tanto te amó. Mintió aquel hombre que riqueza te ofreció, con mano cruel ajó tu gracia y tu virtud; eras la rosa de fragante juventud que hurtó al rosal el caballero que pasó. ";Mano cruel
Homero Manzi;Antonio De Bassi;Dónde vas carrerito del este castigando tu yunta de ruanos, y mostrando en la chata celeste las dos iniciales pintadas a mano. Reluciendo la estrella de bronce claveteada en la suela de cuero, dónde vas carrerito del Once, cruzando ligero las calles del Sur. ¡Porteñito!... ¡Manoblanca!... Vamos ¡fuerza, que viene barranca! ¡Manoblanca!... ¡Porteñito! ¡Fuerza! ¡vamos, que falta un poquito! ¡Bueno! ¡bueno!... ¡Ya salimos!... Ahora sigan parejo otra vez, que esta noche me esperan sus ojos en la Avenida Centenera y Tabaré. Dónde vas carrerito porteño con tu chata flamante y coqueta, con los ojos cerrados de sueño y un gajo de ruda detrás de la oreja. El orgullo de ser bien querido se adivina en tu estrella de bronce, carrerito del barrio del Once que vuelves trotando para el corralón. ¡Bueno! ¡bueno!... ¡Ya salimos!... Ahora sigan parejo otra vez mientras sueño en los ojos aquellos de la Avenida Centenera y Tabaré. ;Manoblanca
Homero Expósito;Virgilio Expósito;No... ni es cielo ni es azul, ni es cierto tu candor, ni al fin tu juventud. Tú compras el carmín y el pote de rubor que tiembla en tus mejillas, y ojeras con verdín para llenar de amor tu máscara de arcilla. Tú, que tímida y fatal te arreglas el dolor después de sollozar, sabrás cómo te amé, un día al despertar sin fe ni maquillaje, ya lista para el viaje que desciende hasta el color final... Mentiras... son mentiras tu virtud, tu amor y tu bondad y al fin tu juventud. Mentiras... ¡te maquillaste el corazón! ¡Mentiras sin piedad! ¡Qué lástima de amor! ;Maquillaje
Julio Jorge Nelson;Joaquín Mora;"Hoy te evoco emocionado, mi divina Margarita. Hoy te añoro en mis recuerdos, ¡oh, mi dulce inspiración! Soy tu Armando, el que te clama, mi sedosa muñequita, El que te llora... el que reza, embargado de emoción. El idilio que se ha roto me ha robado paz y calma. Y la muerte ha profanado la virtud de nuestro amor. ¡Para qué quiero la vida!... si mi alma destrozada Sufre una angustia suprema... vive este cruento dolor. Hoy de hinojos en la tumba donde descansa tu cuerpo He brindado el homenaje que tu alma suspiró; He llevado el ramillete de camelias ya marchitas, Que aquel día me ofreciste como emblema de tu amor. Al ponerlas junto al lecho donde dormías tranquila, Una lágrima muy tierna de mis ojos descendió Y rezando por tu alma, mi divina Margarita, Un sollozo entrecortado en mi pecho se anidó. Nunca olvido aquella noche que besándome en la boca Una camelia muy frágil de tu pecho se cayó; La tomaste tristemente, la besaste como loca Y entre aquellos pobres pétalos, una mancha apareció. ¡Era sangre que vertías! ¡Oh, mi pobre Margarita! Eran signos de agonía... eran huellas de tu mal Y te fuiste lentamente, vida mía, muñequita, Pues la Parca te llamaba con su sorna tan fatal. ";Margarita Gauthier 
" Juan Carlos Moreno 
González Letra: Gabino Coria Peñaloza";"Juan Carlos Moreno 
González Letra: Gabino Coria Peñaloza";"¡Pobre manojito de flores que un día silenciosamente cambiamos los dos! Sólo me han quedado las dos margaritas, las dos margaritas del último adiós. Con pesar deshojo sus pétalos blancos, blancos como el alma de quien me las dio: una me responde que sí, que me quiere; la otra me confiesa que ya me olvidó. Blancas margaritas que hoy deshojo aquí, digan que me quiere que de nuevo un día volverá por mí. Blancas margaritas que hoy recojo aquí, díganme si, triste, hoy también deshoja las que yo le di. Viendo deshojadas las dos margaritas pienso que he destruido mi propia ilusión y otra vez recojo los pétalos rotos para acariciarlos en mi corazón. Con voz misteriosa que sólo yo entiendo mi corazón noble latiendo me habló: me contó que un alma, llorando de ausencia, sus dos margaritas también deshojó. ";Margaritas
Homero Expósito;Armando Pontier;Margo ha vuelto a la ciudad con el tango más amargo, su cansancio fue tan largo que el cansancio pudo más. Varias noches el ayer se hizo grillo hasta la aurora, pero nunca como ahora tanto y tanto hasta volver. ¿Qué pretende? ¿A dónde va con el tango más amargo? ¡Si ha llorado tanto Margo que dan ganas de llorar! Ayer pensó que hoy... y hoy no es posible... La vida puede más que la esperanza... París era oscura y cantaba su tango feliz, sin saber, pobrecita que el viejo París se alimenta con el breve fin brutal de la magnolia entre la nieve... Después otra vez Buenos Aires y Margo otra vez sin canción y sin fe... Hoy me hablaron de rodar y yo dije a las alturas: Margo siempre fue más pura que la luna sobre el mar. Ella tuvo que llorar sin un llanto lo que llora, pero nunca como ahora sin un llanto hasta sangrar. Los amigos que no están son el son del tango amargo... ¡Si ha llorado tanto Margo que dan ganas de llorar! ;Margo 
" José Ricardo / Carlos 
Gardel Letra: Celedonio Flores";"José Ricardo / Carlos 
Gardel Letra: Celedonio Flores";Se te embroca desde lejos, pelandruna abacanada, que has nacido en la miseria de un convento de arrabal... Porque hay algo que te vende, yo no sé si es la mirada, la manera de sentarte, de mirar, de estar parada o ese cuerpo acostumbrado a las pilchas de percal. Ese cuerpo que hoy te marca los compases tentadores del canyengue de algún tango en los brazos de algún gil, mientras triunfa tu silueta y tu traje de colores, entre el humo de los puros y el champán de Armenonville. Son macanas, no fue un guapo haragán ni prepotente ni un cafisho de averías el que al vicio te largó... Vos rodaste por tu culpa y no fue inocentemente... ¡berretines de bacana que tenías en la mente desde el día que un magnate cajetilla te afiló! Yo recuerdo, no tenías casi nada que ponerte, hoy usas ajuar de seda con rositas rococó, ¡me reviente tu presencia... pagaría por no verte... si hasta el nombre te han cambiado como has cambiado de suerte: ya no sos mi Margarita, ahora te llaman Margot! Ahora vas con los otarios a pasarla de bacana a un lujoso reservado del Petit o del Julien, y tu vieja, ¡pobre vieja! lava toda la semana pa' poder parar la olla, con pobreza franciscana, en el triste conventillo alumbrado a kerosén. ;Margot
Armando Tagini;Juan José Guichandut;"Tenía aquella casa no sé qué suave encanto en la belleza humilde del patio colonial cubierto en el verano por el florido manto que hilaban las glicinas, la parra y el rosal... ¡Si me parece verte! La pollerita corta, sobre un banco empinadas las puntas de tus pies, los bucles despeinados y contemplando absorta los títeres que hablaban, inglés, ruso y francés. -¡Arriba, doña Rosa!... ¡Don Pánfilo, ligero!... Y aquel titiritero de voz aguardentosa nos daba la función. Tos ojos se extasiaban: aquellas marionetas saltaban y bailaban prendiendo en tu alma inquieta la cálida emoción... Los años de la infancia risueña ya pasaron camino del olvido; los títeres también. Piropos y promesas tu oído acariciaron... te fuiste de tu casa, no se supo con quién. Allá entre bastidores, ridículo y mezquino, claudica el decorado sencillo de tu hogar... Y tu, en el proscenio de un frívolo destino, ¡sos frágil marioneta que baila sin cesar! ";Marioneta
Francisco García Jiménez;Anselmo Aieta;"Un bandoneón con su resuello tristón. La noche en el cristal de la copa y del bar y del tiempo que pasó... Mi corazón con su borracha emoción. Y en otra voz, la voz de la historia vulgar, dice mi vulgar dolor... Mariposita, muchachita de mi barrio, te busco por el centro, te busco y no te encuentro, siguiendo este calvario con la cruz del mismo error. Te busco porque acaso nos iríamos del brazo... Vos te equivocaste con tu arrullo de sedas palpitantes, y yo con mi barullo de sueños delirantes, en un mundo engañador. ¡Volvamos a lo de antes! ¡Dame el brazo y vámonos! Ni vos ni yo sabemos cuál se perdió. Ni dónde el bien, ni el mal, tuvo un día final y otro día comenzó... Yo bebo más porque esta noche vendrás. Mi corazón te ve; pero habrá que beber mucho... ¡pero mucho más!... ";Mariposita
Enrique Santos Discépolo;Enrique Santos Discépolo;Solo... ¡increíblemente solo! vivo el drama de esperarte, hoy... mañana... siempre igual... ¡Dolor que muerde las carnes, herida que hace gritar, vergüenza de no olvidarte, si yo sé que no vendrás! ¡Solo! ¡Pavorosamente solo!... como están los que se mueren, los que sufren, los que quieren, así estoy... ¡por tu impiedad! Sin comprender, por qué razón te quiero... Ni qué castigo de Dios me condenó al horror de que seas vos, vos, solamente sólo vos... Nadie en la vida más que vos lo que deseo... Y entre la risa y las burlas yo arrastré mi amor ¡llamándote!... Fiebre de pasiones maldecidas, que uno trae desde otras vidas y las sufre hasta morir... Dolor de bestia perdida, que quiere huir del puñal, yo me revuelco sin manos pa' librarme de tu mal... ¡Solo!... ¡Despiadadamente solo!... mientras grita mi conciencia tu traición ¡la de tu ausencia! hoy... mañana... siempre igual... ;Martirio
Cátulo Castillo;Aníbal Troilo;"Acaso te llamaras solamente María..! No sé si eras el eco de una vieja canción, pero hace mucho, mucho, fuiste hondamente mía sobre un paisaje triste, desmayado de amor... El Otoño te trajo, mojando de agonía, tu sombrerito pobre y el tapado marrón... Eras como la calle de la Melancolía, que llovía...llovía sobre mi corazón..! María..! En las sombras de mi pieza es tu paso el que regresa... María..! Y es tu voz, pequeña y triste, la del día en que dijiste: ""Ya no hay nada entre los dos.."" María..! La más mía..! La Lejana..! Si volviera otra mañana por las calles del adiós..! Tus ojos eran puertos que guardaban ausentes, su horizonte de sueños y un silencio de flor... Pero tus manos buenas, regresaban presentes, para curar mi fiebre, desteñidas de amor... Un Otoño te trajo..! Tu nombre era María, y nunca supe nada de tu rumbo infeliz... Si eras como el paisaje de la Melancolía, que llovía...llovía, sobre la calle gris... ";María 
Carlos Bahr;Enrique Francini;"Desde hace un mes estoy postrado... Cuántos domingos que me extrañas. Y hoy, en tu día, bien amada, Te faltarán mis flores Y no estaré a tu lado. Llora la lluvia del otoño Sobre tu tumba y mi tristeza. Hoy como nunca ¡estás tan sola...! ¡Los dos estamos solos...! ¡Amarga soledad...! Mañana iré temprano Con las flores que tú amabas. Y el estar allí, a tu lado, Será un consuelo, mi dulce amor. Te llamaré Para decirte: ¡amada, aquí estoy...! No te olvidó jamás mi emoción. Y te hablaré, Y no estarás tan sola... Tan sola como estoy yo. Mañana iré temprano, En cuanto despunte el alba, A llevarte, bien amada La siempreviva de mi dolor. Sigo postrado en esta cama. Hace seis meses que me esperas... Hoy me he asomado a la ventana, Y vi la primavera Pintando la mañana. El cielo tiene golondrinas, El árbol, flor; el aire, aroma... Pero tú siempre sigues sola, Y yo vivo un otoño De amarga soledad. ";Mañana iré temprano 
Homero Manzi;Lucio Demare;Riberas que no cambian tocamos al anclar. Cien puertos nos regalan la música del mar. Muchachas de ojos tristes nos vienen a esperar y el gusto de las copas parece siempre igual. Tan sólo aquí en tu puerto se alegra el corazón, Riachuelo donde sangra la voz del bandoneón. Bailemos hasta el eco del último compás, mañana zarpa un barco, tal vez no vuelva más. Qué bien se baila sobre la tierra firme. Mañana al alba tenemos que zarpar. La noche es larga, no quiero que estés triste. Muchacha, vamos... no sé por qué llorás. Diré tu nombre cuando me encuentre lejos. Tendré un recuerdo para contarle al mar. La noche es larga, no quiero que estés triste. Muchacha, vamos... no sé por qué llorás. Dos meses en un barco viajó mi corazón. Dos meses añorando la voz del bandoneón. El tango es puerto amigo donde ancla la ilusión. Al ritmo de su danza se hamaca la emoción. De noche, con la luna, soñando sobre el mar, el ritmo de las olas me miente su compás. Bailemos este tango, no quiero recordar. Mañana zarpa un barco, tal vez no vuelva más. ;Mañana zarpa un barco 
Roberto Fugazot / Agustín Irusta;Lucio Demare;"Las grises mañanitas de Montmartre, donde iluso derroché mi juventud, serán eternas en mi triste vida, porque las recuerdo para mi inquietud. Al igual que un amor cicatrizado e imborrable en un tierno corazón, mis mañanitas de Montmartre tan queridas son para mí un delirio y una gran pasión. Pero sos, mujer, pobre insensata que en el mundo triunfás; la frágil barca de tu vida quizás naufragará porque el timón de tu esperanza se quebrará en la mar, y humillada ya, mis mañanitas de Montmartre verán la fría nieve del destino caer sobre tu almita acongojada destruyendo aquellos sueños que forjaste con afán. Nuevamente volverás a ser aquella que paseaba exenta de pudor por esas calles en que todas las mujeres pecadoras, guardaban su dolor. Y en las tinieblas de tu pobre vida, por ingrata nunca más encontrarás quien te devuelva con un beso de cariño la luz de tu esperanza, que se apaga ya. ";Mañanitas de Montmartre 
Enrique Dizeo;Federico Leone;Nos separamos un día por un enojo cualquiera, y hoy se muere el alma mía porque en vez de la alegría el dolor me desespera. Es necesario que vuelvas, que vuelvas con tu querer, si de pensar lo que hiciste mi amor está muy triste, no sabe lo que hacer. ¡Tesoro mío...! ¡Cuánto sufro por tu ausencia! ¡Te extraño mucho! ¿Para qué voy a mentirte? ¡Tesoro mío...! Comprendé un poquito: Le hace falta a mis oídos tu dulce voz. Volvé a mi lado que necesito mirarme en esos ojos que te ha regalado Dios. Ya no sé ni lo que digo. Mi voluntad se ha deshecho, me alejé del buen amigo, ando solo, sin abrigo y no se que hay en mi pecho. ¿Para qué te di mi nombre y fui detrás de tu amor? Para que nadie se asombre de ver penando un hombre que al cielo te llevó. ;Más solo que nunca
 José Canet Letra: José Canet (vals);José Canet Letra: José Canet (vals);Ayer, en un banco de la vieja plaza que adorna mi pueblo donde yo nací, comprobé con pena que la vida pasa, que la vida pasa llevándome a mí. Y he tardado tanto para comprenderlo, tuvo que alejarse la que yo adoré para darme cuenta que así sin saberlo prendida en sus labios moría mi fe. Sentado en el banco, recordé las tardes en que muy juntitos tejimos los dos el romance ardiente de un cariño sano, loco provinciano que soñó un amor. Ella era una diosa que llegó a mi pueblo a olvidar su hastío, vencida tal vez, se arrulló en mi canto, divina y tirana, y una gris mañana me besó y se fue. Y he quedado solo, con mis pensamientos, en la vieja plaza que me vio crecer, que escuchó en silencio tantos juramentos mentiras piadosas de aquella mujer. Cuántos sueños locos, forjó mi embeleso cuando en su regazo su voz me arrulló. Ave pasajera que ansiosa de besos se posó en mi boca, me besó y partió. Sentado en el banco, recordé las tardes en que muy juntitos tejimos los dos el romance ardiente de un cariño sano, loco provinciano que soñó un amor. Ella era una diosa que llegó a mi pueblo a olvidar su hastío, vencida tal vez, se arrulló en mi canto, divina y tirana, y una gris mañana me besó y se fue. ;Me besó y se fue
Alfredo Le Pera / Mario Battistella;Carlos Gardel;Nace el hombre en este mundo remanyao por el destino y prosigue su camino muy confiado del rigor, sin pensar que la inclemencia de la vida sin amor va enredando su existencia en los tientos del dolor. Pero llega y un momento se da cuenta de su suerte y se amarga hasta la muerte sin tener ya salvación, pues comprende que la vida fue tan solo un metejón al perder la fe querida de su pobre corazón. Me da pena confesarlo, pero es triste ¡qué canejo! el venirse tan abajo, derrotado y para viejo. No es de hombre lamentarse pero al ver cómo me alejo, sin poderlo remediar yo lloro sin querer llorar. Si no fuera que el recuerdo de mi madre tan querida me acollara en esta vida con sentida devoción, no era yo quien aguantaba esta triste situación, ni el que así contemplaba sin abrirse el corazón. Pero hay cosas, compañero, que ninguno las comprende: uno a veces se defiende del dolor para vivir, como aquel haciendo alarde del coraje en el sufrir no se mata de cobarde por temor de no morir. ;Me da pena confesarlo
" José Basso / Argentino 
Galván Letra: Carlos Bahr";"José Basso / Argentino 
Galván Letra: Carlos Bahr";A mi me están sobrando las penas, tal vez porque me lo tomo a pecho, tal vez porque se que me desdeña y queriendo como quiero y esperando como espero no he logrado que me quiera. Me están sobrando las penas y con penas duele más la soledad. Suerte que tengo un corazón hecho al rigor de cien esperas. Si habré perdido esperanzas, aguantado malas rachas y si habré domado penas. Mas yo se bien que no es vivir andar así, siempre golpeado, sin un cariño que alivie este sino de andar esquivando el dolor. A mi me están sobrando las penas tal vez porque nunca tuve suerte, tal vez porque siento a mi manera y tal vez, y lo más cierto, porque vivo padeciendo por su amor, que se me niega. Me están sobrando las penas y con penas duele más la soledad. ;Me están sobrando las penas
Roberto Daniel Miró;Vicente Spina;Después de un año atroz de soledad volvimos a encontrarnos sin querer de pronto los recuerdos de otros días que cantaba y que reía acudieron en tropel. Mis labios balbucearon con temor los ojos le contaron mi dolor mis ansias de encontrarla fueron tantas que oprimida la garganta me quedé mirándola Inútiles senderos fueron todos caminos recorridos sin vivir bordeados de dudas y dolores y sólo sinsabores aumentan mi sufrir. Mas ya no espero nada de la vida, ni ahora que la encuentro puede ser. Lo dice su mirada distraída, que he matado para siempre lo que fuera su querer. Ha vuelto sin llegar la que esperé la encuentro y nuevamente ya se va sabiendo que en su adiós está mi ruina, se alejó y de la esquina me quedé mirándola Ha vuelto sin llegar la que espere la encuentro nuevamente y ya se va y sabiendo que en su adiós esta mi ruina se alejó y de la esquina me quedé mirándola. ;Me quedé mirándola
" Carlos Gardel / José 
Razzano Letra: Mario Battistella";"Carlos Gardel / José 
Razzano Letra: Mario Battistella";Muchas glorias me dio el mundo al brindarme sus ofrendas, son tantas que las confundo aflojándole las riendas. Gran poder es el dinero, mal de todas esas prendas. Es a vos a quien más quiero medallita de la suerte, que te llevo desde niño Es tan grande mi cariño como el miedo de perderte. Yo nací para quererte, porque junto a mi cunita te bendijo mi viejia, con el llanto de su amor. Fuiste para mi, canción de cuna, en mis noches, blanca luna, flor del aire en mi camino, esperanza en mi destino y serás en mi partida la canción de despedida, cuando a todo diga adiós. Nunca te podré olvidar, que fuiste vos mi dulce prenda querida. Medallita de la suerte, que te llevo desde niño. Es tan grande mi cariño como el miedo de perderte. Yo nací para quererte, porque junto a mi cunita te bendijo mi viejita, con el llanto de su amor. Siempre así, corazón, con el mismo amor los dos. ;Medallita de la suerte 
Héctor Gagliardi;Aníbal Troilo;¡Un reloj da las doce... las doce 'e la noche! y qué triste es, hermano, las horas escuchar. Cuando estás encanao en el lecho tan triste, tan triste y tan frío que da el hospital. ¡Las doce 'e la noche!... ¿Qué harán los muchachos? Seguro en el feca, jugando al billar o andarán colados en un casamiento. ¡Qué solo me siento! ¡Qué gana 'e llorar! Pa' mañana domingo, que es día 'e visita, yo sé bien que una sola, pa' mí ha de ser, mi uiejita querida que por mí tanto sufre que tanto me dijo y yo no escuché. Yo siento por ella, la pobre, tan vieja, a mí que soy joven me venga a cuidar. ¡Las doce 'e la noche!... Qué noche serena... Qué solo me siento... Qué gana 'e llorar. No tiro la bronca porque ahora ando enfermo, quisiera batirles se sepan cuidar... Las minas, las copas, las farras, los bailes... Yo triunfé en todo eso y aquí está el final. Qué triste es, hermano, caer derrotado... La mina que ayer me pelié por su amor no ha venido a verme, ya no le intereso... Se enturbia mi vista. ¡Cha, qué flojo soy!... ;Medianoche
" Carlos Vicente Geroni 
Flores Letra: Samuel Linnig";"Carlos Vicente Geroni 
Flores Letra: Samuel Linnig";"En la orquesta sonó el último tango, te ajustaste nerviosa el antifaz y saliste conmigo de aquel baile más alegre y más rubia que el champán. ¿Cómo se llama mi Pierrot dormido?, te pregunté, y abriendo tú los ojos. en mis brazos, mimosa, respondiste: ""A mí me llaman Melenita de Oro... ¡Si fuera por la vida!... ¡Estoy tan sola!..."" ¿Recuerdas? Parecía que temblabas con ganas de llorar, al primer beso... ¡Ya mentía tu boca, la pintada! Melenita de Oro, tus labios me han engañado, esos tus labios pintados, rojos como un corazón... Melenita de Oro, no rías, que estás sufriendo, no rías, que estás mintiendo que anoche sufrió tu corazón. En la almohada, como a una mancha rubia, tu ausente cabecita creo besar y mis ojos te ven (¿ya no te acuerdas?) más alegre y más rubia que el champán. Déjame; no, no quiero tus caricias; me mancha la pintura de tus labios... ¡Todavía están tibios de otra cita! ¡Si se ve que recién los has pintado! Apágame la luz, cierra la puerta... No quiero verte más, mujer odiada, déjame solo, solo con mi pena... ¡No quiero verte más!... ¡Vuelve mañana! ";Melenita de oro
Alfredo Le Pera / Mario Battistella;Carlos Gardel;"Barrio plateado por la luna, rumores de milonga es toda su fortuna. Hay un fueye que rezonga en la cortada mistonga, mientras que una pebeta, linda como una flor, espera coqueta bajo la quieta luz de un farol. Barrio... barrio.. que tenés el alma inquieta de un gorrión sentimental. Penas...ruego... ¡esto todo el barrio malevo melodía de arrabal! Barrio... barrio... perdoná si al evocarte se me pianta un lagrimón, que al rodar en tu empedrao es un beso prolongao que te da mi corazón. Cuna de tauras y cantores, de broncas y entreveros, de todos mis amores. En tus muros con mi acero yo grabé nombres que quiero. Rosa, ""la milonguita"", era rubia Margot, en la primer cita, la paica Rita me dio su amor. ";Melodía de arrabal 
Armando Tagini;Oscar Arona;La noche amiga me trajo al centro en este inquieto peregrinar, detrás del tango que nunca encuentro, del que otros días supe bailar... Aquél del patio con el aljibe, cancel de hierro, cordial portón, que me brindaba, cuando era pibe, su aroma criollo: menta y cedrón. ¡Yo busco el tango de ayer!... ¿Dónde estará? ¿En qué fuelles escondido? ¿Dónde, su ritmo sentido, pulido y querido que no he de olvidar? ¡Dónde están, bailes de antaño, en los que bajo las parras, cien acordes de guitarras nos hicieron vivir y soñar!... Yo escucho el tango del tiempo mío tras de las tapias que ya no están, y evoco el barrio con sus baldíos... y aquellos cielos de celofán... Y cruzo el patio de las magnolias, y se me prenden al corazón el fiel recuerdo de aquella novia, y aquel perfume: menta y cedrón... Nostalgias del corazón. ¡Magnolias, menta y cedrón! ;Menta y cedrón
Celedonio Flores;Francisco Pracánico;Vos ,sabés que fuiste para mí la luz de mi cabeza alocada, el porqué de mi pobre vivir que vos alimentaste de amor... Muñequita de trapo que yo adoré santamente y fingías quererme... ¡Mentira, mentira! ¡No tiene perdón! Me pregunto cuáles son las causas por que vos quebraste mi felicidad, por qué razón fatal vos me causaste tanto mal... No te vengo a mendigar cariños que tal vez a otros le entregaste como a mí, ni me arrepiento de haberte querido así. Y pensar que yo te vi llorar de amor entre mis brazos de hombre, que escuché jurarme tu querer por todo lo más grande que hay, por tu santa viejita, que Dios la tenga en la gloria... ¡Y eran todas mentiras, mentiras, mentiras de mala mujer! ;Mentira
Alfredo Le Pera;Carlos Gardel;Mi Buenos Aires querido cuando yo te vuelva a ver, no habrás más pena ni olvido. El farolito de la calle en que nací fue el centinela de mis promesas de amor, bajo su quieta lucecita yo la vi a mi pebeta, luminosa como un sol. Hoy que la suerte quiere que te vuelva a ver, ciudad porteña de mi único querer, y oigo la queja de un bandoneón, dentro del pecho pide rienda el corazón. Mi Buenos Aires tierra florida donde mi vida terminaré. Bajo tu amparo no hay desengaños, vuelan los años, se olvida el dolor. En caravana los recuerdos pasan, con una estela dulce de emoción. Quiero que sepas que al evocarte, se van las penas de mi corazón. La ventanita de mi calle de arrabal. donde sonríe una muchachita en flor, quiero de nuevo yo volver a contemplar aquellos ojos que acarician al mirar. En la cortada más maleva una canción dice su ruego de coraje y de pasión, una promesa y un suspirar, borró una lágrima de pena aquel cantar. Mi Buenos Aires querido, cuando yo te vuelva a ver, no habrá más pena ni olvido. ;Mi Buenos Aires querido
Roberto Lambertucci;Roberto Pansera;Ya tengo miedo del invierno frío, y del otoño con sus hojas muertas. Del viento hiriente cuando silba y clava, como un puñal, su gris canción de ausencia. Y siento miedo, porque estoy tan solo, y no me encuentro ni en mi soledad. Quiero ser ciego y olvidarlo todo, pero te veo, aunque no estés mas. Y hasta ese cielo con sus nubes negras, que con la lluvia llora su pesar, pinta el paisaje de mi vida oscura, pero te siento, pues, no sé llorar... Llevo en mi mente tu canción de ausencia, oigo tu voz de nieve y de cristal. Todo te nombra cuando estoy tan solo, porque te siento, aunque no estés más. ;Mi canción de ausencia
